sku,colorFamily,imageUrl
GIUP-1806,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1806.jpg
GIUP-1807,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1807.jpg
GIUP-1808,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1808.jpg
GIUP-1809,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1809.jpg
GIUP-1810,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1810.jpg
GIUP-1811,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1811.jpg
GIUP-1812,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1812.jpg
GIUP-1813,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1813.jpg
GIUP-1814,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1814.jpg
GIUP-1815,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1815.jpg
GIUP-1816,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1816.jpg
GIUP-1817,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1817.jpg
GIUP-1818,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1818.jpg
GIUP-1819,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1819.jpg
GIUP-1820,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1820.jpg
GIUP-1821,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1821.jpg
GIUP-1822,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1822.jpg
GIUP-1823,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1823.jpg
GIUP-1900,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1900.jpg
GIUP-1901,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1901.jpg
GIUP-1902,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1902.jpg
GIUP-1903,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1903.jpg
GIUP-1904,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1904.jpg
GIUP-1905,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1905.jpg
GIUP-1906,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1906.jpg
GIUP-1907,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1907.jpg
GIUP-1908,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1908.jpg
GIUP-1909,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1909.jpg
GIUP-1910,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1910.jpg
GIUP-1911,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1911.jpg
GIUP-1912,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1912.jpg
GIUP-1913,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1913.jpg
GIUP-1914,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1914.jpg
GIUP-1915,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1915.jpg
GIUP-1916,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1916.jpg
GIUP-1917,,/gelitup-content/product-images/COLORS/SOLID GEL POLISH/GIUP-1917.jpg
